num,ville,site
1,agadir,https://www.telecontact.ma/services/pharmacies-de-garde/agadir-Maroc
2,beni mellal,https://www.telecontact.ma/services/pharmacies-de-garde/beni-mellal-Maroc
3,berkane,https://www.telecontact.ma/services/pharmacies-de-garde/berkane-Maroc
4,berrechid,https://www.telecontact.ma/services/pharmacies-de-garde/berrechid-Maroc
5,casablanca,https://www.telecontact.ma/services/pharmacies-de-garde/casablanca-Maroc
6,chefchaouen,https://www.telecontact.ma/services/pharmacies-de-garde/chefchaouen-Maroc
7,errachidia,https://www.telecontact.ma/services/pharmacies-de-garde/errachidia-Maroc
8,fkih ben salah,https://www.telecontact.ma/services/pharmacies-de-garde/fkih-ben-salah-Maroc
9,guelmim,https://www.telecontact.ma/services/pharmacies-de-garde/guelmim-Maroc
10,kenitra,https://www.telecontact.ma/services/pharmacies-de-garde/kenitra-Maroc
11,khouribga,https://www.telecontact.ma/services/pharmacies-de-garde/khouribga-Maroc
12,larache,https://www.telecontact.ma/services/pharmacies-de-garde/larache-Maroc
13,marrakech,https://www.telecontact.ma/services/pharmacies-de-garde/marrakech-Maroc
14,meknes,https://www.telecontact.ma/services/pharmacies-de-garde/meknes-Maroc
15,mohammedia,https://www.telecontact.ma/services/pharmacies-de-garde/mohammedia-Maroc
16,nador,https://www.telecontact.ma/services/pharmacies-de-garde/nador-Maroc
17,ouarzazate,https://www.telecontact.ma/services/pharmacies-de-garde/ouarzazate-Maroc
18,oujda,https://www.telecontact.ma/services/pharmacies-de-garde/oujda-Maroc
19,rabat,https://www.telecontact.ma/services/pharmacies-de-garde/rabat-Maroc
20,safi,https://www.telecontact.ma/services/pharmacies-de-garde/safi-Maroc
21,sale,https://www.telecontact.ma/services/pharmacies-de-garde/sale-Maroc
22,settat,https://www.telecontact.ma/services/pharmacies-de-garde/settat-Maroc
23,tan tan,https://www.telecontact.ma/services/pharmacies-de-garde/tan-tan-Maroc
24,tanger,https://www.telecontact.ma/services/pharmacies-de-garde/tanger-Maroc
25,temara,https://www.telecontact.ma/services/pharmacies-de-garde/temara-Maroc
26,tetouan,https://www.telecontact.ma/services/pharmacies-de-garde/tetouan-Maroc
